food,calories,fat,carbs,protein
cream cheese,51,5.0,0.8,0.9
neufchatel cheese,215,19.4,3.1,7.8
requeijao cremoso light catupiry,49,3.6,0.9,0.8
ricotta cheese,30,2.0,1.5,1.5
cream cheese low fat,30,2.3,1.2,1.2
cream cheese fat free,19,0.2,1.4,2.8
gruyere cheese,116,9.1,0.1,8.3
cheddar cheese,113,9.3,0.9,6.4
parmesan cheese,71,4.5,0.6,6.4
romano cheese,19,1.3,0.2,1.6
parmesan cheese grated,21,1.4,0.7,1.4
port salut cheese,465,37.2,0.8,31.4
swiss cheese,98,7.7,0.4,6.7
goat cheese hard,128,10.1,0.6,8.6
gouda cheese,100,7.7,0.6,7.0
pepper jack cheese lucerne,75,6.0,0.0,5.0
caraway cheese,106,8.3,0.9,7.1
gjetost cheese,1058,67.0,96.8,21.9
tilsit cheese,136,10.4,0.8,9.8
goat cheese,103,8.4,0.009,6.1
brick cheese,111,8.9,0.8,7.0
asadero cheese,402,31.9,3.2,25.5
camembert cheese,90,7.3,0.1,5.9
provolone cheese reduced fat,310,19.9,4.0,27.9
roquefort cheese,314,26.0,1.7,18.3
queso blanco cheese,366,28.7,3.0,24.0
queso seco cheese,315,23.6,2.0,23.8
goat cheese soft,75,6.0,0.0,5.2
mozzarella cheese,90,6.6,0.7,6.7
chihuahua cheese,494,39.2,7.3,28.5
limburger cheese,98,8.2,0.1,6.0
muenster cheese,486,39.7,1.5,30.9
queso fresco cheese,365,29.1,3.6,22.1
brie cheese,100,8.3,0.1,6.2
pimento cheese,525,43.7,2.4,31.0
mexican cheese,316,21.7,3.8,27.7
feta cheese,80,6.4,1.2,4.3
mozzarella cheese fat free,159,0.0,4.0,35.8
provolone cheese,463,35.1,2.8,33.8
anejo cheese,492,39.6,6.1,28.3
honey,64,0.0,17.3,0.08
apple butter,35,0.063,8.5,0.045
fruit jam,56,0.095,13.8,0.0
chocolate hazelnut spread,100,5.5,11.5,1.0
peanut butter,88,7.4,3.6,3.3
peanut spread,101,8.5,2.2,3.8
chicken spread,88,9.8,2.3,10.1
cheese spread,708,68.6,8.4,17.0
tahini,86,7.2,3.9,2.7
orange marmalade,49,0.0,13.3,0.014
american cheese spread,46,3.4,1.4,2.6
apricot jam,48,0.01,12.9,0.1
chunky peanut butter,94,8.0,3.5,3.8
ham and cheese spread,37,2.8,0.3,2.4
chicken and rice casserole homade,27,1.0,2.4,2.0
picnic loaf,65,4.7,1.3,4.2
corn tamale,309,12.0,44.3,5.8
baked potato with cheese sauce bacon,451,25.9,44.4,18.4
chinese egg roll,223,10.6,24.3,7.4
butter croissant,231,12.0,26.1,4.7
enchilada with cheese beef,323,17.6,30.5,11.9
corned beef hash with potatoes,387,24.2,21.9,20.6
biscuit with egg cheese bacon,436,25.3,35.4,17.4
bagel with ham egg cheese,483,18.5,52.4,26.7
quesadilla with chicken,529,27.5,43.3,27.1
corn rice,110,0.3,25.2,1.8
kung pao chicken,779,42.2,41.5,59.0
beef empanada,298,16.3,27.8,10.1
frijoles with cheese,225,7.8,28.7,11.4
burrito with beef,285,8.1,43.9,9.1
crispy chicken sandwich,350,17.6,33.2,14.8
enchilada with cheese,374,25.3,21.2,15.4
pork egg roll,189,6.1,25.1,8.4
corn on the cob with butter,155,3.4,31.9,4.5
pancakes with butter syrup,260,7.0,45.4,4.1
burrito with beans,224,6.7,35.7,7.0
scrambled eggs,100,7.6,1.0,6.5
baked potato with sour cream,393,22.3,50.0,6.7
turkey and gravy,161,6.3,11.1,14.1
chicken egg roll,158,3.6,22.8,8.4
vegetable egg roll,153,3.6,25.0,5.2
ham cheese roll,67,5.2,1.1,3.8
biscuit with ham,386,18.4,43.8,13.4
lemon chicken,1440,74.9,122.0,68.6
hummus,435,21.1,49.5,12.0
croissant with egg cheese,368,24.7,24.3,12.8
enchirito with cheese beef beans,344,16.1,33.8,17.9
sweet sour pork,38,2.2,3.3,1.2
crab cake,160,10.4,5.1,11.3
egg dinner roll,107,2.2,18.2,3.3
english muffin with egg cheese sausage,472,29.9,28.8,22.1
buttermilk pancakes,86,3.5,10.9,2.6
omelet,94,7.1,0.4,6.4
taco with chicken cheese lettuce,185,6.2,19.3,13.0
spinach souffle,230,17.6,8.0,10.7
english muffin with cheese sausage,365,22.3,27.3,14.3
potato gratin,328,18.6,27.6,12.4
biscuit with egg,436,25.3,35.4,17.4
french fries deep fried,222,10.5,29.4,2.4
sweet sour chicken,46,2.3,4.4,1.8
burrito with beans beef,460,18.0,47.0,27.8
nachos with cinnamon sugar,592,36.0,63.4,7.2
arroz con grandules,209,5.7,35.4,4.0
chili con carne,271,8.8,33.1,14.7
arroz con abichuelas,223,5.4,37.3,6.2
biscuit with sausage,412,27.1,33.3,10.7
vegetarian stew,304,7.4,17.3,42.0
chicken sandwich with cheese,632,38.8,41.6,29.4
biscuit with egg steak,410,28.4,21.3,17.9
taco salad,212,11.2,17.9,10.0
succotash,213,1.5,46.8,9.7
nachos with cheese jalapeno peppers,608,34.1,60.1,16.8
biscuit with egg ham,442,27.0,31.4,20.4
ladyfingers,103,2.6,16.9,3.0
mozzarella steak fried,102,5.9,7.7,4.6
tamale navajo,285,11.4,33.7,11.7
blueberry pancakes,84,3.5,11.0,2.3
chimichanga with beef cheese,443,23.4,39.3,20.1
egg cheese sandwich,340,19.4,25.9,15.6
biscuit with egg bacon,458,31.1,28.6,17.0
pupusas con queso,300,15.5,26.2,13.7
apple croissant,145,5.0,21.1,4.2
refried red beans,336,16.1,36.0,11.7
tostada with guacamole,180,11.6,16.0,6.2
chicken sandwich,468,20.9,39.1,30.4
fried rice,228,3.2,43.4,6.5
pupusas del cerdo,283,12.7,28.1,14.0
turkey pot pie,699,34.9,70.3,25.8
cheese croissant,331,16.7,37.6,7.4
chimichanga with beef,425,19.7,42.8,19.6
french toast with butter,178,9.4,18.0,5.2
ham egg cheese sandwich,347,16.3,30.9,19.2
english muffin with butter,189,5.8,30.4,4.9
savoury noodle one pan dinner tandaco,172,1.2,5.5,0.0
ham cheese sandwich,352,15.5,33.3,20.7
sweet gefilte fish,35,0.7,3.1,3.8
poached egg,72,4.7,0.4,6.3
tostada with beef cheese,315,16.3,22.8,19.0
tostada with beans cheese,223,9.9,26.5,9.6
pork tamale,247,12.8,22.4,10.4
nachos with cheese,274,17.2,27.9,3.5
pulled pork in barbecue sauce,418,11.0,46.7,32.8
baked potato with cheese sauce,474,28.7,46.5,14.6
baked beans,310,10.3,43.3,11.1
arroz con frijoles,220,5.6,35.6,6.8
taco with beef cheese lettuce,156,8.8,13.7,6.1
burrito with beans cheese beef,165,6.6,19.8,7.3
egg mix,30,2.2,0.098,2.4
falafel,57,3.0,5.4,2.3
taco salad with chili con carne,193,8.8,17.7,11.6
wonton wrappers,93,0.5,18.5,3.1
hushpuppies,512,20.5,69.9,11.7
chicken pot pie,598,34.6,57.3,14.6
general tsos chicken,1578,87.5,128.3,69.0
burrito with beans cheese,379,11.2,57.8,13.6
vegetarian fillets,247,15.3,7.7,19.6
biscuit with egg sausage,505,33.6,34.1,18.0
chicken chow mein,513,16.9,50.1,40.8
fruit burrito,231,9.5,35.0,2.5
arroz con leche,369,9.3,63.0,8.1
caramel custard flan,444,12.3,69.7,13.9
gelatin dessert,167,0.0,38.3,3.3
chocolate milk dessert,229,1.4,51.6,5.9
chocolate mousse,338,24.0,24.1,6.2
dulce de leche,60,1.4,10.5,1.3
apple crisp,454,9.7,87.0,4.9
spinach spaghetti cooked,182,0.9,36.6,6.4
corn pasta cooked,176,1.0,39.1,3.7
spaghetti with meat sauce,255,2.9,43.1,14.3
pasta with meatballs in tomato sauce,273,13.0,28.3,10.6
cheese tortellini,332,7.8,50.8,14.6
pasta with sliced franks in tomato sauce,227,6.0,32.0,11.0
lasagna,166,6.1,18.9,9.0
macaroni cheese,310,9.4,43.7,12.6
vegetable lasagna,316,13.7,32.2,15.6
spinach egg noodles cooked,211,2.5,38.8,8.1
cheese lasagna,316,13.0,33.6,15.9
pasta with tomato sauce,176,1.8,35.1,5.6
spinach pasta cooked,37,0.3,7.1,1.4
vegetable chicken soup,166,4.8,21.1,12.3
bean ham soup,198,2.5,33.5,10.3
cream of chicken soup,227,14.5,18.0,6.0
tomato soup canned,139,3.3,22.6,6.3
egg drop soup,65,1.5,10.3,2.8
scotch broth,197,6.4,23.0,12.1
cream of onion soup,268,12.8,31.7,6.7
chicken broth dry,10,0.2,1.1,0.7
vegetable soup with beef broth,162,3.8,26.3,6.0
chili with beans canned,287,14.1,30.5,14.6
beef noodle soup,168,6.2,17.9,9.6
consomme dry,17,0.2,1.9,2.2
chicken mushroom soup,126,6.1,15.1,2.0
beef vegetable soup,120,2.9,15.4,8.0
black bean soup,234,3.4,39.6,12.4
split pea soup with ham bacon,189,3.1,28.6,11.6
cream of mushroom soup,199,13.4,17.1,3.4
green pea soup,320,5.7,51.7,16.7
chicken broth soup,78,2.6,1.9,11.1
chicken mushroom chowder soup,431,23.7,38.3,16.2
chicken dumplings soup,235,13.4,14.7,13.6
chicken vegetable soup,148,5.6,17.0,7.1
turkey vegetable soup,72,3.0,8.6,3.1
wonton soup,71,0.6,11.7,4.6
beef stock,31,0.2,2.9,4.7
mushroom barley soup,186,5.5,29.3,4.6
gazpacho soup,70,0.4,6.6,10.7
beef mushroom soup,186,7.3,15.9,14.0
chicken rice soup,127,3.2,13.0,12.3
pepperpot soup,100,4.5,9.1,6.2
vegetable soup,149,4.0,24.6,4.3
chili beef soup,308,6.7,49.6,13.4
chicken soup,174,6.5,16.9,12.4
bean with frankfurters soup,188,7.0,22.0,10.0
pea soup,161,2.8,25.6,8.3
turkey soup,135,4.4,14.1,10.2
stockpot soup,201,7.8,23.1,9.8
hot sour soup,91,2.8,10.1,6.0
cheese soup,203,9.7,28.0,2.0
cream of potato soup,186,4.7,32.2,3.8
bean with bacon soup,106,2.1,16.4,5.5
fish stock,40,1.9,0.0,5.3
split pea soup with ham,381,8.9,56.2,20.7
beef broth soup,17,0.5,0.01,2.7
lentil soup with ham,139,2.8,20.2,9.3
tomato soup,98,0.7,22.5,2.2
fish broth,39,1.5,1.0,4.9
chili without beans canned,283,17.0,14.6,18.1
minestrone soup,167,5.0,22.6,8.6
clam chowder soup,154,4.4,24.5,4.4
tomato vegetable soup,54,0.8,9.9,1.9
cream of rice coup,127,0.2,28.1,2.2
cream of celery soup,181,11.2,17.7,3.3
chicken gravy,188,13.6,12.9,4.6
tomato rice soup,240,5.5,44.1,4.2
vegetable beef soup,128,2.0,9.6,18.1
tomato beef noodle soup,281,8.6,42.3,8.9
oyster stew soup,118,7.7,8.2,4.2
ramen noodle soup dry,371,13.3,53.9,8.9
chicken noodle soup,145,4.7,18.4,7.2
chicken bouillon dry,11,0.6,0.7,0.7
cream of asparagus soup,174,8.2,21.5,4.6
turkey noodle soup,139,4.0,17.3,7.8
cream of shrimp soup,181,10.4,16.5,5.6
bean with pork soup,335,11.5,44.1,15.3
chicken broth,12,0.5,1.0,1.0
beef broth powder,8,0.3,0.6,0.6
split pea soup,180,2.3,29.9,9.7
escarole soup,61,4.0,4.0,3.4
chicken stock,86,2.9,8.5,6.0
tomato bisque soup,248,5.0,47.7,4.5
shark fin soup,99,4.3,8.2,6.9
onion soup,113,3.5,16.4,7.5
chicken gumbo soup,113,2.9,16.8,5.3
crab soup,95,0.8,12.5,10.4
tripe soup,148,5.2,8.1,17.2
little india little lunch,164,10.6,2.0,0.0
original chicken sandwich chick fil a,125,5.1,0.0,0.0
sausage mcmuffin mcdonalds,383,24.2,28.2,14.6
sausage mcgriddles mcdonalds,421,24.0,42.2,11.4
crispy chicken drumstick kentucky fried chicken,70,3.0,0.0,10.6
chicken crispy drumsticks kentucky fried chicken,156,10.1,4.5,11.8
biscuit kentucky fried chicken,185,9.1,22.1,3.8
english muffin mcdonalds,97,2.3,2.9,5.7
french fries mcdonalds,378,18.1,49.8,4.0
hotdog,383,23.0,28.5,16.4
french fries burger king,207,9.2,28.6,2.4
original taco with beef cheese lettuce taco bell,158,8.8,13.7,6.1
hotdog with chili,296,13.4,31.3,13.5
chicken crispy wings kentucky fried chicken,148,10.1,5.1,9.2
egg white delight mcdonalds,250,16.0,0.0,0.0
french toast sticks burger king,73,3.7,8.7,1.3
mcchicken mcdonalds,358,17.3,36.6,13.7
nachos supreme taco bell,480,26.6,45.0,14.8
crispy chicken wing kentucky fried chicken,104,5.3,1.3,12.6
chicken strips burger king,105,5.5,7.4,6.6
crispy chicken breast kentucky fried chicken,214,6.7,0.4,38.2
sausage biscuit mcdonalds,440,29.7,31.8,11.3
sausage burrito mcdonalds,339,17.1,24.2,13.0
onion rings fried,27,1.6,2.8,0.3
onion rings burger king,379,23.0,39.7,3.5
turkey patty fried,79,5.0,4.4,3.9
hotcakes with syrup mcdonalds,601,17.8,101.8,9.0
crispy chicken thigh kentucky fried chicken,163,9.1,0.0,20.4
corn dog,195,9.4,21.0,6.7
chicken box mcdonalds,70,4.0,5.5,0.2
potato wedges kentucky fried chicken,379,19.8,45.0,5.4
scrambled eggs mcdonalds,98,7.5,0.9,7.7
egg mcmuffin mcdonalds,287,12.2,27.3,17.2
nachos taco bell,362,21.9,36.0,5.1
biscuit large mcdonalds,310,14.4,39.4,5.5
crispy chicken strips kentucky fried chicken,129,7.2,6.4,9.5
hotcakes mcdonalds,113,2.9,19.0,3.0
chicken crispy breast kentucky fried chicken,375,23.2,11.9,29.7
hotcakes sausage mcdonalds,776,34.9,102.4,15.5
chicken mcnuggets mcdonalds,48,3.2,2.4,2.5
chips chipotle,151,7.1,2.1,0.2
biscuit mcdonalds,261,12.2,33.3,4.7
rice bowl with chicken,36,0.4,6.4,1.6
spaghetti with meatballs,200,8.2,22.9,8.7
meat ravioli canned,259,8.9,36.0,8.9
cheese ravioli canned,186,3.5,33.0,6.0
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,59.8,35.3
steak sandwich,459,14.1,52.0,30.3
cheeseburger burger king,380,19.7,31.5,19.4
cheeseburger mcdonalds,313,14.0,33.1,15.4
double cheeseburger,643,36.9,41.0,37.0
double hamburger,942,58.6,51.4,52.1
premium grilled chicken classic sandwich mcdonalds,366,8.6,44.6,28.3
big n tasty with cheese mcdonalds,573,36.0,39.7,27.2
premium grilled chicken club sandwich mcdonalds,493,18.0,44.3,38.3
quarter pounder mcdonalds,417,19.8,37.9,24.1
premium crispy chicken classic sandwich mcdonalds,524,20.0,58.6,27.8
veggie burger,124,4.4,10.0,11.0
quarter pounder with cheese mcdonalds,513,28.3,39.7,29.0
beef sandwich steak raw,173,15.1,0.0,9.2
cheeseburger,292,13.2,28.7,15.0
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,44.3,33.7
double whopper with cheese burger king,1061,68.1,53.9,57.7
big mac mcdonalds,563,32.8,44.0,25.9
sandwich with cold cuts,833,39.3,79.9,41.1
filet o fish mcdonalds,378,19.6,35.4,15.1
hand breaded chicken tenders carls jr,57,2.9,0.2,0.0
grilled chicken sandwich wendys,370,8.0,0.0,0.0
sandwich with roast beef,410,13.0,44.3,28.6
hamburger burger king,258,10.4,26.5,14.7
big n tasty mcdonalds,524,31.7,38.5,24.7
roast beef sandwich,364,15.3,33.1,22.6
roast beef sandwich with cheese,473,18.0,45.4,32.2
hamburger,255,9.9,28.7,12.9
premium fish sandwich burger king,572,27.4,58.7,22.6
whopper burger king,790,48.4,52.8,35.4
sandwich with tuna salad,584,28.0,55.4,29.7
original chicken sandwich burger king,569,29.2,52.2,24.2
double whopper burger king,942,58.6,51.4,52.1
premium crispy chicken club sandwich mcdonalds,635,29.9,57.4,39.1
hamburger mcdonalds,251,9.6,28.8,12.3
pepperoni pizza dominos,308,12.6,36.0,12.7
sausage pizza,325,14.3,35.5,13.3
pepperoni pizza,313,13.2,35.5,13.0
pepperoni pizza pizza hut,269,10.9,30.3,12.3
cheese pizza pizza hut,260,10.5,30.0,11.5
cheese pizza,285,10.4,35.7,12.2
cheese pizza dominos,278,9.7,35.9,11.7
meat vegetable pizza,332,14.8,34.5,15.0
sucker raw,146,3.7,0.0,26.6
northern pike raw,348,2.7,0.0,76.3
haddock cooked,135,0.8,0.0,30.0
burbot cooked,104,0.9,0.0,22.3
pollock cooked,356,3.8,0.0,75.3
rainbow smelt raw,27,0.7,0.0,5.0
whitefish cooked,265,11.6,0.0,37.7
walleye pike raw,148,1.9,0.0,30.4
carp cooked,275,12.2,0.0,38.9
wolffish cooked,293,7.3,0.0,53.4
snapper cooked,218,2.9,0.0,44.7
roe cooked,58,2.3,0.5,8.1
anchovy raw,37,1.4,0.0,5.8
herring raw,291,16.6,0.0,33.0
cod raw,189,1.5,0.0,41.1
tilapia raw,111,2.0,0.0,23.3
whiting cooked,84,1.2,0.0,16.9
skipjack tuna cooked,407,4.0,0.0,86.9
salmon cooked,733,44.0,0.0,78.7
chum salmon cooked,474,14.9,0.0,79.5
american shad cooked,363,25.4,0.0,31.3
shark cooked,65,3.9,1.8,5.3
trout cooked,118,5.3,0.0,16.5
swordfish raw,196,9.0,0.0,26.7
rainbow trout cooked,119,5.2,0.0,16.9
fish sandwich with cheese,374,19.6,35.4,15.1
jellyfish dried,21,0.8,0.0,3.2
mullet raw,139,4.5,0.0,23.0
halibut cooked,353,5.1,0.0,71.7
lingcod raw,213,2.7,0.0,44.2
orange roughy cooked,30,0.3,0.0,6.4
cisco raw,77,1.5,0.0,15.0
florida pompano cooked,186,10.7,0.0,20.8
snapper raw,218,2.9,0.0,44.7
fish sandwich,565,27.4,58.7,22.6
haddock raw,143,0.9,0.0,31.5
ocean perch raw,51,1.0,0.0,9.8
cuttlefish cooked,45,0.4,0.5,9.2
cod cooked,189,1.5,0.0,41.1
seatrout raw,248,8.6,0.0,39.8
flounder raw,114,3.1,0.0,20.2
spot cooked,79,3.1,0.0,11.9
walleye pike cooked,148,1.9,0.0,30.4
perch raw,55,0.6,0.0,11.6
pumpkin seed sunfish raw,43,0.3,0.0,9.3
salt mackerel,415,34.1,0.0,25.2
mackerel cooked,231,15.7,0.0,21.0
tilapia cooked,111,2.3,0.0,22.8
drum raw,236,9.8,0.0,34.7
atlantic croaker fried,192,11.0,6.6,15.8
pumpkin seed sunfish cooked,42,0.3,0.0,9.2
wolffish raw,294,7.3,0.0,53.6
bluefin tuna cooked,276,9.4,0.0,44.9
scup cooked,68,1.8,0.0,12.1
herring cooked,290,16.6,0.0,32.9
bluefish raw,186,6.4,0.0,30.1
sheepshead cooked,234,3.0,0.0,48.4
bass cooked,91,2.9,0.0,15.0
pout cooked,279,3.2,0.0,58.4
chinook salmon raw,709,41.3,0.0,78.9
rockfish raw,172,2.6,0.0,35.1
tilefish raw,371,8.9,0.0,67.6
scup raw,174,4.5,0.0,31.3
sablefish cooked,755,59.3,0.0,51.9
tuna salad,383,19.0,19.3,32.9
coho salmon cooked,255,11.8,0.0,34.7
roe raw,20,0.9,0.2,3.1
sea bass raw,125,2.6,0.0,23.8
pink salmon cooked,349,12.0,0.0,56.0
sockeye salmon cooked,493,17.3,0.0,82.1
whitefish raw,265,11.6,0.0,37.8
greenland halibut cooked,760,56.4,0.0,58.6
northern pike cooked,350,2.7,0.0,76.5
salmon raw,824,53.1,0.0,80.9
turbot cooked,388,12.0,0.0,65.4
surimi,28,0.3,1.9,4.3
chinook salmon cooked,711,41.2,0.0,79.2
mullet cooked,140,4.5,0.0,23.1
chum salmon raw,3,0.1,0.0,0.6
butterfish raw,47,2.6,0.0,5.5
sea bass cooked,125,2.6,0.0,23.9
greenland halibut raw,759,56.5,0.0,58.6
halibut raw,371,5.4,0.0,75.7
sturgeon cooked,184,7.0,0.0,28.2
fish fillet fried,211,11.2,15.4,13.3
rainbow trout raw,111,4.9,0.0,15.8
pout raw,278,3.2,0.0,58.6
rainbow smelt cooked,35,0.9,0.0,6.4
monkfish raw,22,0.4,0.0,4.1
trout raw,117,5.2,0.0,16.4
shark raw,37,1.3,0.0,5.9
burbot raw,104,0.9,0.0,22.4
dolphinfish cooked,173,1.4,0.0,37.7
crayfish cooked,25,0.4,0.0,5.0
dolphinfish raw,173,1.4,0.0,37.7
perch cooked,54,0.5,0.0,11.4
cusk raw,106,0.8,0.0,23.2
bluefin tuna raw,41,1.4,0.0,6.6
milkfish cooked,54,2.4,0.0,7.4
carp raw,277,12.2,0.0,38.9
sturgeon raw,30,1.1,0.0,4.6
orange roughy raw,22,0.2,0.0,4.6
catfish fried,199,11.6,7.0,15.7
cuttlefish raw,22,0.2,0.2,4.6
bass raw,90,2.9,0.0,14.9
flounder cooked,109,3.0,0.0,19.4
milkfish raw,42,1.9,0.0,5.8
eel raw,375,23.8,0.0,37.6
catfish raw,189,9.4,0.0,24.2
fish sticks,78,4.5,6.1,3.1
coho salmon raw,254,12.2,0.0,33.8
monkfish cooked,27,0.6,0.0,5.3
yellowtail cooked,546,19.6,0.0,86.6
yellowfin tuna cooked,37,0.2,0.0,8.2
ling cooked,168,1.2,0.0,36.8
eel cooked,67,4.2,0.0,6.7
sablefish raw,753,59.1,0.0,51.8
salmon nuggets,60,3.3,4.0,3.6
yellowtail raw,546,19.6,0.0,86.5
butterfish cooked,47,2.6,0.0,5.5
caviar,42,2.9,0.6,3.9
pollock raw,355,3.8,0.0,75.0
catfish cooked,206,10.3,0.0,26.4
whiting raw,83,1.2,0.0,16.8
pink salmon raw,404,14.0,0.0,65.2
yellowfin tuna raw,31,0.1,0.0,6.9
mackerel raw,230,15.6,0.0,20.8
turbot raw,388,12.0,0.0,65.5
cusk cooked,106,0.8,0.0,23.1
atlantic croaker raw,82,2.5,0.0,14.0
sucker cooked,148,3.7,0.0,26.6
spot raw,79,3.1,0.0,11.8
drum cooked,236,9.7,0.0,34.6
crayfish raw,3,0.048,0.0,0.6
tilefish cooked,441,14.1,0.0,73.5
bluefish cooked,186,6.4,0.0,30.1
grouper cooked,238,2.6,0.0,50.2
sheepshead raw,257,5.7,0.0,48.1
herring kippered,87,4.9,0.0,9.8
grouper raw,238,2.6,0.0,50.2
ocean perch cooked,48,0.9,0.0,9.3
ling raw,168,1.2,0.0,36.7
lingcod cooked,329,4.1,0.0,68.4
florida pompano raw,184,10.6,0.0,20.7
rockfish cooked,162,2.4,0.0,33.1
seatrout cooked,247,8.6,0.0,39.9
sockeye salmon raw,562,22.2,0.0,84.4
swordfish cooked,182,8.4,0.0,24.9
american shad raw,362,25.3,0.0,31.2
sardine canned in oil,310,17.1,0.0,36.7
anchovy canned in oil,8,0.4,0.0,1.2
salmon canned,520,20.3,0.0,79.1
sardines in tomato sauce canned,165,9.3,0.5,18.6
sockeye salmon canned,563,24.9,0.0,79.5
tuna canned,102,2.4,0.0,18.9
pink salmon canned,530,20.4,0.0,80.9
cod canned,328,2.7,0.0,71.0
eastern oyster canned,110,4.0,6.3,11.4
chum salmon canned,520,20.3,0.0,79.1
tuna canned in oil,331,14.4,0.0,47.2
wild pink salmon oceans,320,16.0,0.0,0.0
shrimp canned,128,1.7,0.0,26.1
alaska king crab raw,144,1.0,0.0,31.5
scallops fried,64,3.2,6.4,2.6
shrimp cooked,7,0.092,0.013,1.3
clams fried,19,1.0,1.0,1.3
alaska king crab cooked,130,2.1,0.0,25.9
scallops cooked,11,0.058,0.5,2.1
squid fried,140,6.0,6.2,14.4
oyster raw,41,1.2,2.5,4.7
abalone,89,0.6,5.1,14.5
queen crab raw,25,0.3,0.0,5.2
whelk cooked,78,0.2,4.4,13.5
oyster cooked,41,1.2,2.5,4.7
eastern oyster cooked,8,0.2,0.7,0.7
blue mussels cooked,344,9.0,14.8,47.6
octopus raw,23,0.3,0.6,4.2
spiny lobster cooked,233,3.2,5.1,43.0
blue mussels raw,129,3.4,5.5,17.9
queen crab cooked,98,1.3,0.0,20.2
dungeness crab cooked,140,1.6,1.2,28.3
dungeness crab raw,140,1.6,1.2,28.4
shrimp fried,52,3.2,4.8,1.3
shrimp raw,4,0.023,0.041,0.7
blue crab cooked,71,0.6,0.0,15.2
shrimp imitation,29,0.4,2.6,3.5
conch baked,165,1.5,2.2,33.4
squid raw,26,0.4,0.9,4.4
scallop raw,10,0.091,0.5,1.8
lobster raw,116,1.1,0.0,24.8
scallop imitation,28,0.1,3.0,3.6
blue crab raw,18,0.2,0.018,3.8
whelk raw,39,0.1,2.2,6.7
spiny lobster raw,234,3.2,5.1,43.1
clams canned,227,2.5,9.4,38.8
lobster cooked,134,1.3,0.0,28.5
eastern oyster fried,29,1.8,1.7,1.3
clams raw,195,2.2,8.1,33.3
octopus cooked,139,1.8,3.7,25.3
eastern oyster raw,8,0.2,0.8,0.7
oyster fried,61,3.0,6.7,2.1
sturgeon smoked,49,1.2,0.0,8.8
chinook salmon smoked,159,5.9,0.0,24.9
cisco smoked,50,3.4,0.0,4.6
haddock smoked,33,0.3,0.0,7.1
whitefish smoked,147,1.3,0.0,31.8
red salmon sockeye filets smoked,373,12.3,0.0,65.5
eggnog,224,10.6,20.4,11.6
beer light,96,0.0,5.4,0.8
beer budweiser,12,0.0,0.9,0.1
weizenbier erdinger,220,18.0,0.0,0.0
beer light budweiser,9,0.0,0.4,0.066
beer,142,0.0,11.7,1.5
root beer,202,0.0,52.3,0.0
whiskey sour mix,26,0.072,6.3,0.051
whiskey sour,158,0.0,13.9,0.0
tequila sunrise,232,0.2,23.8,0.6
daiquiri,112,0.036,4.2,0.035
pina colada,245,2.7,32.0,0.6
whiskey,58,0.0,0.1,0.0
rum,49,0.0,0.0,0.0
vodka smirnoff,13,0.4,2.0,0.0
coffee liqueur,96,0.038,13.8,0.041
gin,53,0.0,0.0,0.0
dessert wine sweet,165,0.0,14.1,0.2
chenin blanc white wine,118,0.0,4.9,0.1
gamay red wine,115,0.0,3.5,0.1
late harvest white wine,172,0.0,20.6,0.1
gewurztraminer white wine,119,0.0,3.8,0.1
burgundy red wine,172,0.0,7.4,0.1
